"";"tipo_veiculo";"nome_montadora";"marca";"mes_ano";"qtd_licenciada";"mes";"ano"
"232";"Automóveis";"FCA";"Chrysler";"abr_21";1;"abr";2021
"233";"Automóveis";"FCA";"Chrysler";"mai_21";5;"mai";2021
"234";"Automóveis";"FCA";"Chrysler";"jun_21";2;"jun";2021
"235";"Automóveis";"FCA";"Chrysler";"jul_21";1;"jul";2021
"236";"Automóveis";"FCA";"Chrysler";"ago_21";3;"ago";2021
"237";"Automóveis";"FCA";"Chrysler";"set_21";5;"set";2021
"238";"Automóveis";"FCA";"Chrysler";"out_21";2;"out";2021
"239";"Automóveis";"FCA";"Chrysler";"nov_21";1;"nov";2021
"240";"Automóveis";"FCA";"Chrysler";"dez_21";1;"dez";2021
"241";"Automóveis";"FCA";"Chrysler";"jan_20";1;"jan";2020
"242";"Automóveis";"FCA";"Chrysler";"fev_20";1;"fev";2020
"243";"Automóveis";"FCA";"Chrysler";"mar_20";1;"mar";2020
"244";"Automóveis";"FCA";"Chrysler";"abr_20";1;"abr";2020
"245";"Automóveis";"FCA";"Chrysler";"mai_20";1;"mai";2020
"246";"Automóveis";"FCA";"Chrysler";"jun_20";3;"jun";2020
"247";"Automóveis";"FCA";"Chrysler";"jul_20";2;"jul";2020
"248";"Automóveis";"FCA";"Chrysler";"ago_20";4;"ago";2020
"249";"Automóveis";"FCA";"Chrysler";"set_20";0;"set";2020
"250";"Automóveis";"FCA";"Chrysler";"out_20";1;"out";2020
"251";"Automóveis";"FCA";"Chrysler";"nov_20";1;"nov";2020
"252";"Automóveis";"FCA";"Chrysler";"dez_20";3;"dez";2020
"253";"Automóveis";"FCA";"Dodge";"jan_22";4;"jan";2022
"254";"Automóveis";"FCA";"Dodge";"fev_22";5;"fev";2022
"255";"Automóveis";"FCA";"Dodge";"mar_22";5;"mar";2022
"256";"Automóveis";"FCA";"Dodge";"abr_22";6;"abr";2022
"257";"Automóveis";"FCA";"Dodge";"mai_22";5;"mai";2022
"258";"Automóveis";"FCA";"Dodge";"jun_22";4;"jun";2022
"259";"Automóveis";"FCA";"Dodge";"jul_22";4;"jul";2022
"260";"Automóveis";"FCA";"Dodge";"ago_22";10;"ago";2022
"261";"Automóveis";"FCA";"Dodge";"set_22";NA;"set";2022
"262";"Automóveis";"FCA";"Dodge";"out_22";NA;"out";2022
"263";"Automóveis";"FCA";"Dodge";"nov_22";NA;"nov";2022
"264";"Automóveis";"FCA";"Dodge";"dez_22";NA;"dez";2022
"265";"Automóveis";"FCA";"Dodge";"jan_21";0;"jan";2021
"266";"Automóveis";"FCA";"Dodge";"fev_21";1;"fev";2021
"267";"Automóveis";"FCA";"Dodge";"mar_21";4;"mar";2021
"268";"Automóveis";"FCA";"Dodge";"abr_21";2;"abr";2021
"269";"Automóveis";"FCA";"Dodge";"mai_21";2;"mai";2021
"270";"Automóveis";"FCA";"Dodge";"jun_21";3;"jun";2021
"271";"Automóveis";"FCA";"Dodge";"jul_21";2;"jul";2021
"272";"Automóveis";"FCA";"Dodge";"ago_21";2;"ago";2021
"273";"Automóveis";"FCA";"Dodge";"set_21";3;"set";2021
"274";"Automóveis";"FCA";"Dodge";"out_21";3;"out";2021
"275";"Automóveis";"FCA";"Dodge";"nov_21";0;"nov";2021
"276";"Automóveis";"FCA";"Dodge";"dez_21";4;"dez";2021
"277";"Automóveis";"FCA";"Dodge";"jan_20";15;"jan";2020
"278";"Automóveis";"FCA";"Dodge";"fev_20";10;"fev";2020
"279";"Automóveis";"FCA";"Dodge";"mar_20";11;"mar";2020
"280";"Automóveis";"FCA";"Dodge";"abr_20";5;"abr";2020
"281";"Automóveis";"FCA";"Dodge";"mai_20";4;"mai";2020
"282";"Automóveis";"FCA";"Dodge";"jun_20";12;"jun";2020
"283";"Automóveis";"FCA";"Dodge";"jul_20";22;"jul";2020
"284";"Automóveis";"FCA";"Dodge";"ago_20";14;"ago";2020
"285";"Automóveis";"FCA";"Dodge";"set_20";7;"set";2020
"286";"Automóveis";"FCA";"Dodge";"out_20";0;"out";2020
"287";"Automóveis";"FCA";"Dodge";"nov_20";6;"nov";2020
"288";"Automóveis";"FCA";"Dodge";"dez_20";4;"dez";2020
"289";"Automóveis";"FCA";"Fiat";"jan_22";11484;"jan";2022
"290";"Automóveis";"FCA";"Fiat";"fev_22";14193;"fev";2022
"291";"Automóveis";"FCA";"Fiat";"mar_22";14605;"mar";2022
"292";"Automóveis";"FCA";"Fiat";"abr_22";20203;"abr";2022
"293";"Automóveis";"FCA";"Fiat";"mai_22";19713;"mai";2022
"294";"Automóveis";"FCA";"Fiat";"jun_22";18601;"jun";2022
"295";"Automóveis";"FCA";"Fiat";"jul_22";18681;"jul";2022
"296";"Automóveis";"FCA";"Fiat";"ago_22";23299;"ago";2022
"297";"Automóveis";"FCA";"Fiat";"set_22";NA;"set";2022
"298";"Automóveis";"FCA";"Fiat";"out_22";NA;"out";2022
"299";"Automóveis";"FCA";"Fiat";"nov_22";NA;"nov";2022
"300";"Automóveis";"FCA";"Fiat";"dez_22";NA;"dez";2022
"301";"Automóveis";"FCA";"Fiat";"jan_21";14513;"jan";2021
"302";"Automóveis";"FCA";"Fiat";"fev_21";16289;"fev";2021
"303";"Automóveis";"FCA";"Fiat";"mar_21";18896;"mar";2021
"304";"Automóveis";"FCA";"Fiat";"abr_21";15667;"abr";2021
"305";"Automóveis";"FCA";"Fiat";"mai_21";24709;"mai";2021
"306";"Automóveis";"FCA";"Fiat";"jun_21";26568;"jun";2021
"307";"Automóveis";"FCA";"Fiat";"jul_21";25120;"jul";2021
"308";"Automóveis";"FCA";"Fiat";"ago_21";21160;"ago";2021
"309";"Automóveis";"FCA";"Fiat";"set_21";13819;"set";2021
"310";"Automóveis";"FCA";"Fiat";"out_21";15807;"out";2021
"311";"Automóveis";"FCA";"Fiat";"nov_21";14395;"nov";2021
"312";"Automóveis";"FCA";"Fiat";"dez_21";19624;"dez";2021
"313";"Automóveis";"FCA";"Fiat";"jan_20";13783;"jan";2020
"314";"Automóveis";"FCA";"Fiat";"fev_20";15061;"fev";2020
"315";"Automóveis";"FCA";"Fiat";"mar_20";13565;"mar";2020
"316";"Automóveis";"FCA";"Fiat";"abr_20";3644;"abr";2020
"317";"Automóveis";"FCA";"Fiat";"mai_20";4336;"mai";2020
"318";"Automóveis";"FCA";"Fiat";"jun_20";8580;"jun";2020
"319";"Automóveis";"FCA";"Fiat";"jul_20";12199;"jul";2020
"320";"Automóveis";"FCA";"Fiat";"ago_20";15409;"ago";2020
"321";"Automóveis";"FCA";"Fiat";"set_20";19251;"set";2020
"322";"Automóveis";"FCA";"Fiat";"out_20";19269;"out";2020
"323";"Automóveis";"FCA";"Fiat";"nov_20";20464;"nov";2020
"324";"Automóveis";"FCA";"Fiat";"dez_20";20312;"dez";2020
"325";"Automóveis";"FCA";"Jeep";"jan_22";11352;"jan";2022
"326";"Automóveis";"FCA";"Jeep";"fev_22";8594;"fev";2022
"327";"Automóveis";"FCA";"Jeep";"mar_22";10351;"mar";2022
"328";"Automóveis";"FCA";"Jeep";"abr_22";10829;"abr";2022
"329";"Automóveis";"FCA";"Jeep";"mai_22";12825;"mai";2022
"330";"Automóveis";"FCA";"Jeep";"jun_22";11653;"jun";2022
"331";"Automóveis";"FCA";"Jeep";"jul_22";10161;"jul";2022
"332";"Automóveis";"FCA";"Jeep";"ago_22";12291;"ago";2022
"333";"Automóveis";"FCA";"Jeep";"set_22";NA;"set";2022
"334";"Automóveis";"FCA";"Jeep";"out_22";NA;"out";2022
"335";"Automóveis";"FCA";"Jeep";"nov_22";NA;"nov";2022
"336";"Automóveis";"FCA";"Jeep";"dez_22";NA;"dez";2022
"337";"Automóveis";"FCA";"Jeep";"jan_21";12126;"jan";2021
"338";"Automóveis";"FCA";"Jeep";"fev_21";10469;"fev";2021
"339";"Automóveis";"FCA";"Jeep";"mar_21";11401;"mar";2021
"340";"Automóveis";"FCA";"Jeep";"abr_21";12147;"abr";2021
"341";"Automóveis";"FCA";"Jeep";"mai_21";13510;"mai";2021
"342";"Automóveis";"FCA";"Jeep";"jun_21";13590;"jun";2021
"343";"Automóveis";"FCA";"Jeep";"jul_21";13546;"jul";2021
"344";"Automóveis";"FCA";"Jeep";"ago_21";13550;"ago";2021
"345";"Automóveis";"FCA";"Jeep";"set_21";11405;"set";2021
"346";"Automóveis";"FCA";"Jeep";"out_21";13231;"out";2021
"347";"Automóveis";"FCA";"Jeep";"nov_21";10643;"nov";2021
"348";"Automóveis";"FCA";"Jeep";"dez_21";13168;"dez";2021
"349";"Automóveis";"FCA";"Jeep";"jan_20";8666;"jan";2020
"350";"Automóveis";"FCA";"Jeep";"fev_20";10086;"fev";2020
"351";"Automóveis";"FCA";"Jeep";"mar_20";7576;"mar";2020
"352";"Automóveis";"FCA";"Jeep";"abr_20";2262;"abr";2020
"353";"Automóveis";"FCA";"Jeep";"mai_20";2577;"mai";2020
"354";"Automóveis";"FCA";"Jeep";"jun_20";7370;"jun";2020
"355";"Automóveis";"FCA";"Jeep";"jul_20";9569;"jul";2020
"356";"Automóveis";"FCA";"Jeep";"ago_20";10465;"ago";2020
"357";"Automóveis";"FCA";"Jeep";"set_20";11817;"set";2020
"358";"Automóveis";"FCA";"Jeep";"out_20";12218;"out";2020
"359";"Automóveis";"FCA";"Jeep";"nov_20";12708;"nov";2020
"360";"Automóveis";"FCA";"Jeep";"dez_20";14849;"dez";2020
